BLUM	0	a.	Elli iki kâğıt ve iki jokerle, en az iki kişi, en fazla dört kişi tarafından oynanan, konkene benzeyen bir iskambil oyunu
BOCİ	0	a.	Ağır yük taşımaya yarayan, iki kalın ve küçük tekerleği olan el arabası
BOLD	0	a.,bl.	343 koyu
BÖCE	0	a.,ağz.	► böcek
BÖRÜ	0	a.	► kurt (I)
BUKE	0	a.	► koku
BULA	0	a.,ağz.	► yenge
BURU	0	a.,ağz.	► sancı
BUUT	0	a.,esk.,mat.	► boyut
BÜVE	0	a.,hay. b.	Genellikle sığırlara saldıran, onların kanını emen, vızıltılarıyla tedirginlik yaratan sokucu sinek; büğelek, dızdız (Hypoderma bovis)
CART	0	a.	Sert bir şey yırtılırken çıkan ses
CEMİ	0	sf.,esk.	► bütün
CIRT	0	a.	Kâğıt, kumaş vb. yırtılırken çıkan ses
CİMA	0	a.,esk.	► cinsel ilişki
ÇIĞA	0	a.,hay. b.	Yumurtasından havyar yapılan bir tür mersin balığı (Acipenser ruthenus)
ÇIMA	0	a.,den.	Gemiyi iskeleye bağlamak için kullanılan halat
ÇİPO	0	a.,den.	► çıpa
ÇİTİ	0	a.	Çitmek işi
ÇİZİ	0	a.	► çizgi
ÇUCU	0	a.,hlk.	Semerci
DAĞİ	0	a.,müz.	Dağlık bölgelerde söylenen türkülerin makamı
DÂHİ	0	a.	Olağanüstü yeteneği ve yaratıcı gücü olan kimse; deha, öke
DARP	0	a.,esk.	► vurma
DEFİ	0	a.,huk.	Taraflardan birinin kendisine açılan davada borçtan kurtulmak için başvurduğu her türlü yol
DELK	0	a.,esk.	► ovuşturma
DERÇ	0	a.,esk.	Bir araya getirme
DERK	0	a.,esk.	► anlama
DİNE	0	a.,ağz.	Konaklama yeri
DİNÎ	0	sf.	Dinle ilgili, din üzerine; dinsel
DİNK	0	a.,ağz.	Pirinci kabuğundan ayırmak veya bulgur dövmek için kullanılan dibek
DREÇ	0	a.	Ağlı kepçe, tarama ağı
DROG	0	a.,kim.	Hayvan ve bitkilerden kurutularak veya özel metotlarla toplanarak elde edilen, eczacılık ve kısmen sanayide kullanılan ham veya yarı ham madde
DUDU	0	a.	► papağan
DUKA	0	a.,tar.	Dük ünvanının eskiden kullanılan biçimi
DÜĞÜ	0	a.,ağz.	Elendikten sonra geriye kalan en ince bulgur
