HACİZ	a.,huk.	Bir alacağın ödenmesi için borçlunun parasına, aylığına veya malına icra dairesi tarafından el konulması
HAÇLI	sf.	Haçı olan
HADDE	a.	Madenleri tel durumuna getirmek için kullanılan ve türlü çapta delikleri olan çelik araç
HADIM	a.	Erkeklik bezleri çıkarılmış veya köreltilmiş erkek; abelardize
HADİM	sf.,esk.	Hizmet eden
HADİS	a.,din b.	Hz. Muhammed'in sözleri; hadisişerif
HAFIZ	a.,din b.	Kur'an'ı bütünüyle ezbere bilen kimse
HAFİF	sf.	Tartıda ağırlığı az gelen; yeğni, ağır karşıtı
HAFİT	a.,esk.	Erkek torun
HAFTA	a.	Birbiri ardınca gelen yedi günlük dönem
HAHAM	a.,din b.	Yahudi din adamı
HAHHA	a.	Alaylı, yapmacıklı gülerken çıkan ses
HAİLE	a.,esk.	Çok acıklı olay
HAKAN	a.,tar.	Türk, Moğol ve Tatar hanları için "hükümdarlar hükümdarı" anlamında kullanılan bir ünvan
HAKÇA	zf.	Adalete uygun bir biçimde, doğrulukla; adilane
HAKİM	sf.,esk.	► bilge
HÂKİM	sf.	Egemenliğini yürüten, buyruğunu yürüten, sözünü geçiren
HAKİR	sf.	Aşağı görülen, değersiz
HAKLI	sf.	Hakka uygun, doğru, yerinde olan; muhik
HALAS	a.,esk.	► kurtuluş
HALAT	a.	Pamuk, kenevir, Hindistan cevizi gibi bitkisel liflerin veya çelik tellerin sarılmasıyla oluşan kolların bir arada bükülmesiyle elde edilen kalın ip
HALAY	a.	Anadolu'nun çeşitli bölgelerinde genellikle davul ve zurna eşliğinde toplu olarak oynanan bir halk oyunu
HALEF	a.	Birinin ardından gelip onun makamına geçen kimse; arda, ardıl, selef karşıtı
HALEL	a.,esk.	► bozukluk
HÂLEN	zf.	İçinde bulunduğumuz zamanda
HÂLET	a.,esk.	► durum
HALFA	a.,bit. b.	Buğdaygillerden, lifleri ip, çuval ve kâğıt yapımında kullanılan bir bitki (Sitipa tenacissima)
HALİÇ	a.,coğ.	► körfez
HALİM	sf.	Yumuşak huylu (kimse)
HALİS	sf.	► saf (II)
HALKA	a.	Çeşitli metallerden veya tahtadan yapılmış çember
HALUK	sf.,esk.	Temiz huylu, iyi ahlaklı
HAMAK	a.	İki ağaç veya direk arasına asılarak kurulan, içine yatılarak sallanılabilen, ağ, bez vb.nden yapılmış yatak; ağ yatak
HAMAL	a.	Sırtında yük taşıyarak geçinen kimse; sırtçı, taşıyıcı, yükçü
HAMAM	a.	Yıkanılacak yer; ısıdam, sıcak
HAMIZ	a.,esk.,kim.	► asit
HAMİL	sf.,esk.	Elinde bulunduran, üzerinde taşıyan
HAMİŞ	a.,esk.	► çıkma
HAMLA	a.,den.	Küreklerin bir kez suya daldırılıp çıkarılması
HAMLE	a.	► atılım
HAMSE	a.,ed.	Divan edebiyatında beş mesnevinin bir araya gelmesinden oluşan eser
HAMUR	a.	Unun su veya başka sıvılarla yoğrulmuş durumu
HAMUT	a.	Araba koşumunda atların boyunlarına geçirilen ağaç veya üstüne meşin geçirilmiş çember
HANAY	a.,ağz.	İki ve daha çok katlı ev
HANCI	a.	Han işleten kimse
HANDE	a.,esk.	► gülme
HANEK	a.,ağz.	Söz, konuşma
HANGİ	sf.	İki veya daha çok şeyden bir tanesini belirtecek bir cevap istemek için kullanılan soru sıfatı; ne (II)
HANIM	a.	Kız ve kadınlara verilen ünvan; bayan, hatun, leydi
HANUT	a.,argo	Özellikle turist kafilelerini alışveriş etmeleri için belirli dükkânlara götürme işinden alınan yüzde
HAPAZ	a.,ağz.	► avuç
HAPÇI	a.	Uyuşturucu madde özelliği taşıyan haplara düşkün olan kimse
HAPİS	a.	Bir yere kapatıp salıvermeme
HAPŞU	a.	Hapşırırken çıkan ses
HARAÇ	a.	Bir yerden, bir kimseden zorbalıkla alınan para; baç
HARAM	sf.,din b.	Din kurallarına aykırı olan, dinî bakımdan yasak olan, helal karşıtı
HARAP	sf.	Bayındırlığı kalmamış, yıkılacak duruma gelmiş; yıkkın, viran
HARAR	a.,esk.	Çoğu kıldan dokunmuş, büyük çuval
HARBE	a.,esk.	Kısa mızrak
HARBÎ	sf.,tar.	Savaşla ilgili
HARBİ	a.	Ateşli silahların içini temizlemekte kullanılan çubuk; harbe
HAREM	a.	Saray ve konaklarda kadınlara ayrılan bölüm, selamlık karşıtı
HARIM	a.,ağz.	Sebze ve meyve bahçesi
HARIN	sf.,ağz.	Bir şeyden huylanıp yürümeyen, geri geri giden (hayvan)
HARİÇ	a.	► dış
